"uid","profit","round"
"227639",302000,3
"231112",-86000,15
"250194",-12000,8
"242668",-9875,9
"292509",-47750,10
"272663",25250,3
"250116",-12500,2
"277761",-7750,8
"250835",-13750,3
"243542",-6250,1
"298874",-31250,6
"284145",-8000,4
"298750",-25000,8
"214815",-9875,7
"277442",-25000,4
"256719",-6250,1
"291500",-60000,12
"232927",-8750,3
"211840",33250,9
"210137",-75500,15
"214247",-19000,4
"240531",6250,4
"208538",-44000,9
"238136",-23500,6
"293428",-43750,9
"285093",-9870,11
"227424",24250,10
"218555",5750,5
"246199",6500,12
"236802",-9500,5
"209647",-12500,2
"223724",-3750,1
"200970",153750,9
"231302",-34750,11
"278886",-76000,14
"216037",-29250,5
"263336",-46000,8
"268219",65000,2
"265367",-5750,2
"271343",-12500,2
"272926",15000,1
"270548",-6000,2
"277319",-48250,9
"253962",30000,13
"286549",12500,7
"218204",-13750,3
"257981",17500,3
"208912",-25750,5
"272628",-20250,8
"269593",1250,11
"278891",-18750,3
"211632",-5500,5
"262020",-6250,1
"285070",69500,5
"277420",-8500,4
"294257",-36250,7
"277540",-1250,4
"220579",45500,7
"271491",-42000,11
"223262",-12500,2
"277241",-8810,6
"266881",-31500,9
"211594",-30250,13
"241358",-6250,1
"261919",36250,3
"243819",120750,4
"225773",-30500,5
"291306",-29250,12
"246236",-9620,7
"265792",-9360,11
"280114",-9935,11
"211097",-10500,11
"228603",-44750,12
"287218",-43750,8
"266765",-42500,11
"221670",-9630,12
"224265",61750,12
"223560",21500,2
"290221",-12500,2
